name,score,comment,date,city,score1
姨妈的鸭,5.0,春节期间最大的一场烟花是看你爸为你和地球点燃的宇宙爆炸太朋克了,2019-02-05,上海,力荐
Ou,2.0,不论从任何一种标准科幻片的华语片的华语科幻片的来看都不能称得上是部合格影片严重过度剪辑这种典型动作片剪法用在这部空间结构比较复杂的科幻片上简直是胡闹空间及动作表现极其不清轴线纷乱运送火石吴孟达死那一段有人能看清发生什么事情了吗经常错误地插入过紧的特写和过大的远景在运动方向不一致且无有效明暗对比的情况下完全无法锚定观众注意力全片仅有少量连续长镜头让人感觉空间清晰但跨越数十万的公里的建构着实费力每当镜头抽远人语一成不变地延续仿佛在看一部云淡风轻的青春片说到底这点视听手段完全无力处理刘慈欣的星系尺度超全知叙事,2019-02-05,,较差
Booige Boom,5.0,热评第一条我就呵呵了中国科幻电影为什么不值得我们打高分去鼓励非要放在国际水平线上才是客观的吗您真的有那么客观吗我看七武士漫游太空的时候我要不顾及他是那个时代的电影我会给那么高的评价吗同样都是时间轴上的事情我觉得国产这种东西给高一点评价真的没问题真的需要鼓励才能继续发展我国多少题材和类型的电影就是被您这种想法所阻碍和难以发展的向您这样的评论中国科幻电影真的是寸步难行了中国电影也会受之影响真的希望大家能明白结合我国电影发展的历史来评价国产电影,2019-02-06,,力荐
[已注销],1.0,一分画面分在一个烧石头都能做热核聚变的高科技时代会搞不清楚发动机的工作条件导致集体熄火拉全人类去死这是侮辱全人类工程技术人员和科学家的智商被否定的方案能够实现说明以前的预演就是放屁如何把方案做得完美压根就不合格可靠性可行性是怎么验证的此路不通也就没有别的补充方案了科幻并不缺乏大场面的制作虽然早已审美疲劳了最大问题是脑残的剧情它和你讲情怀和想象我只能摇摇头战狼京出现的违和感让我有点想起当年芮成钢的名言我代表亚洲除了画面科幻就一意淫片还有并不是讲国内出了个能看的科幻片就必须鼓励大于批评给个五分,2019-02-05,广州市,很差
苏妄言,1.0,这回还真不是吴京的锅而是整个团队的锅前半段尴尬后半段强行撩导演这剪辑和节奏掌握的都赶上各种笔仙碟仙了本以为特效会有亮眼的地方但整个效果并不让人满意与其说这电影是科幻电影不如说是部人伦片催泪部分说是为了让科幻片看着不生硬哎哟我去这一催更尴尬了演技担当也就达叔了所以一星我真的给得尽力了,2019-02-05,北京,很差
phoebe,4.0,宏大又动人为原著赋予了细腻的想象整体气质比美式末日片都多了一份安静和真实也有萦绕不去的悲伤最戳心的当然还是流浪地球选择带着地球寻找新的星系而不是开辟新的居住地等冰有天化为水子孙依然能看到北京上海贝加尔湖这点可真是太乡愁了看完念念不忘的并不是角色而是电影带来的挥之不去的孤独感望着头顶的太阳真是又温暖又寒冷,2019-01-20,成都市,推荐
Yu,4.0,剧情梗概太阳滚地球好的木星滚地球好的,2019-02-05,杭州市,推荐
巽,5.0,星多一星鼓励华语电影工业飞跃的节点技术剧本精神内核各方面都是全球尺度下顶级同行们的优秀学生水准可贵之处就在于作为先行者和新生代能分辨什么是好的应当学习的并用十二分的力气把它们执行出来比起科幻我更看重和感动是它作为电影本身的意义终于让我对华语电影有了一丝总是往好里去的希望执拗赤诚勇敢高贵是的甚至称得上高贵负载着沉重的文化烙印但依然元气淋漓令人击节的少年像那颗燃烧自己驱动前行的淡蓝色小球向着茫茫宇宙星辰大海出发,2019-01-22,长沙市,力荐
木卫二,2.0,木星都被你们地球人点燃了还要我说什么流浪地球挺硬但序幕往后越来越糙人物情感和煽情模式太套路中国能拍科幻片中国是主场景也不违和可强调中国心以过年回家之类的观念灌输实在吃不消举例其中几场戏上海电梯救援和初中生演讲感动全世界完全不知道在拍啥实实在在瓦解掉了开头上地出城的高大上感反复的亲人泪两行当然可以但一直用就有点无解更像反复要在现实中国和银幕科幻的联系上耍聪明这一切也可以被注释为第一次见到中国城市被毁灭云云一直来这套实在对不上地球死了几十亿人的悲剧感和极度寒冷说来说去也只是一堆数字记住电影评价也得有洛希极限,2019-02-09,北京,较差
乙小囧,5.0,这片要是美国拍的可以给分中国拍的我给分你能想象在波士顿的电影院里坐满人看完集体鼓掌的画面吗燃巨燃全程无尿点特效满分剧情瑕不掩瑜豆瓣为什么不能打星,2019-02-06,桂林市,力荐
SingLesinger,5.0,剧本的节奏处理的极其工整灵魂黑夜到第三幕的高潮迭起层层堆叠特效部分也很扎实美术在好莱坞科幻美学上有很多本土的尝试最后的太空战狼时刻也并不违和春节元素也比红海更扣档期主题希望中国科幻电影好起来,2019-01-20,上海,力荐
非常不小心,1.0,我这里有一个快速的观影指南这部电影好不好可以类比一个事情比如说华为手机好不好华为手机市占率已经有公论理性地说华为手机很好但不足以让我给华为的行为打五星所以这部电影就像另外一种华为的翻版是建立在全球化合作基础上创造的中国制造在某种底层价值观上这部电影应该体现一种向全球化致敬的底色而非电影里面数不清的回家相反在这部电影里面中国人只是表面上和全世界通力合作但实际上只是和俄国人搞起了团团伙伙电影唯一可取的地方是具象化了星辰大海只能期望更多的中国人在看过这部电影之后开始有一种真正的胸怀宇宙观有一种真正地意愿参与全球价值观建设而非所谓的一不干涉三不输出表面上顶呱呱背地里打哈哈所以从我个人价值观的角度我仍然只能给一星,2019-02-09,广州市,很差
懒懒,1.0,就真的三分不能再多了我很失望电影改编得面目全非刘慈欣最精彩的是他的科幻的形吗是吧但除了他恢弘的宇宙想象外更精彩的是对人性的洞悉和对社会形态的观察力这些电影全都自我阉割根本没打算要拍即使自我降维打算拍成美式爆米花电影却又连故事都讲不好硬挤尴尬地笑点和煽情人物全都莫名其妙的缺发动机书中有侧面描写过为什么最终计划倾向于地球派而不是飞船派电影连这一茬都不打算提难道没看过原著的人不会困惑为什么要拖着个大地球满宇宙跑而不是靠飞船高效移居吗连爆米花电影的水准都做不到为刘慈欣不值可别再想着拍三体了吧微笑最后居然还改成吴战狼的个人英雄主义吐了真的,2019-02-05,,很差
frozenmoon,3.0,从特效和技术上讲这应该是迄今为止此类中国电影的巅峰了磅礴恢宏细节营造用心故事层面比较糟糕很好奇到底出于什么原因造成几乎超过的台词都是后配的而且对不上口型明显是片子成型后彻底改词重配的这严重影响故事质量作为类型片很多讲述方式有明显问题比如人物特征不鲜明交代不清楚刘启变成刘户口这种启字的拆解为什么不交代李一一变成李长条留给谁去猜很多地方增加众多根本无意义的插科打诨自以为幽默但毫无笑点非常尴尬这个全球化的项目中中俄合作稍稍出现一句法语两句日语美国只闪现一次国旗美国的缺席出于什么原因好奇科幻特效技术有了巨大进步但技术这只是科幻电影的一部分,2019-02-05,北京,还行
汪金卫,3.0,咔嚓一下震天响来了战狼当球长带领人类救地球一场大火没咋地能有部特效还看得过去的硬科幻国产片是值得鼓励的虽步履蹒跚但至少起步了身为大刘十几年的读者观影前又读了遍原著文字的力量依旧让我感动大刘不像很多中国科幻作家那样有强烈的中国中心观而是站在全人类高度但电影只是借用了小说设定剧情已改编得面目全非注入了原著不曾有丝毫的民族主义催化剂映后吴京灵魂提问月球背面的车是哪个国家造的全场高呼中国观众激动表达高涨的爱国情绪与自豪感让我惊愕不已电影在台词节奏方面问题不少吴京的角色设定似曾相识他在太空翻滚对接高潮戏的配乐也很耳熟仿佛穿越到五年前三刷星际穿越的那天忍不住喊出那句经典台词,2019-01-29,北京,还行
孟三哥,3.0,只能说前期宣传太强势导致期望过高男一女一演技拖后腿而且想说本人非常相当不喜欢绑架型宣传的电影什么中国电影站起来了呀之类的把期望宣传立意搞那么大看了只会觉得有落差不过吴京文戏表现意外不错可惜被男主和妹妹一人拉低一星,2019-02-05,,还行
春导师,1.0,女的在里面不是添麻烦就是不懂事价值观反人类反文明反自然文化艺术宗教一点没出现计划经济的缩影矿工区的活着贾樟柯好多了相对比评流浪地球,2019-02-06,,很差
王小叶儿,5.0,就在我已经彻底被国内影视技术限制了想象力不相信中国能有真正意义的科幻电影时流浪地球便对着我的心脏狠狠扎了一针强心剂走出电影院都还恍若隔世中国真的也有这样的电影了吗真的不是在做梦吗相信这是一部定会写进中国影史中国科幻影史中国太空电影史中国影视工业进程史的一部科幻杰作庆幸能成为见证者此刻我手中的那张电影票不再是一张观影入场券更像是一次亲历奇迹的勋章,2019-01-20,深圳市,力荐
二十二岛主,4.0,观影过程中的情绪很复杂一方面感叹特效的用心和部分设定的精妙另一方面又很讨厌导演极尽谄媚的逢迎和所谓的接地气这可能是导演想要努力区别于国外科幻片的地方但不是说加入像海草舞穿秋裤这样的魔幻中国元素就能展现出中国特有的科幻感的一切还是要回归到人性纽带上在这一点上影片中的几条亲情线就至关重要其中最打动人的还真是吴孟达饰演的爷爷姥爷这条线以及隐线叙事的父女情和夫妻情吴京才是影片的第一男主角从头演到尾而且大多数时间都是独角戏难度很大变成特别出演可能也是情非得已多加一星鼓励作为第一步确实已经不错了,2019-02-05,北京,推荐
喂饭,1.0,犬儒鸡贼到让我愤怒所以这次评价决定不再犬儒直接一星觉得科幻的核心永远不是设定技术它首先是遵循电影调度逻辑的电影然后是责任感是设问和思考是终极体验技术只有契合在这两者身上才最有价值最有电影价值乃至科幻价值其余的都多少是扯蛋和自我标榜,2019-02-06,上海,很差
刘小黛,3.0,剧作短板特效完美演员优秀逻辑还是完全经不起推销地球离太阳最后的距离还不得冻成一个冰球一个女孩的中学获奖感言感动全人类几个毛孩拯救地球中国宇航员牺牲自我其他国家的都是休眠待毙其实主题和战狼一模一样原小说就是个体量不充沛的概念框架改编影像困难当然对整体工业水准有推进什么时候能消除国别差异关注个体展露基本人性原生态再搭配科幻质感并且还能上映,2019-02-05,,还行
玑衡,2.0,的确拍成了大片还不错然而三观严重不正传统的家庭关系以骂和顶撞为主庸俗的台词柔弱无用的女主强调牺牲的集体主义精神,2019-02-11,北京,较差
極北丶,1.0,这分数我又叛逆了本应三分是全给特效的内核剧情看得我彷佛吃下大年初一第一口科技进步成这样了为什么每个人还作得让我恨不得打爆他们的头,2019-02-05,长沙市,很差
妖灵妖,4.0,想象力和视觉构建上有很多了不起的地方可惜剧作上的急促让人物严重扁平化了,2019-02-06,西安市,推荐
基闹,2.0,开年第一部灾难大片灾难级的表演灾难级的文本灾难级的剪辑灾难级的摄影原著小而精的结构到了电影里变成了赶流程一样的儿戏通篇的廉价煽情和自我感动最后小女孩全球广播作文朗诵我甚至听到我爸重重的啧了一声至于技术值得鼓励和好是截然不同的两件事情,2019-02-05,无锡市,较差
江寒园,3.0,煽情尴尬与生硬并存主要是太空漫游致敬杀人太空戏和罗兰艾默里奇灾难类型的杂糅如后天里宏观视角和家庭线小视角的结合但处理太生硬尤其地面这条线一开始就给这么多镜头叙事实在是缺乏矛盾内驱力剪辑问题不少吴孟达坠落那里有谁看清了吗还有俩兄妹坠落之后就直接出现在球里了事件线剪辑混乱缺乏逻辑前后关联台词欠打磨表演也尴尬尤其刘启的生硬对冲尬硬尬硬的直逼李易峰在老炮儿里的演技儿子表演全靠吼大刘的想象力设定一流很多人的赞美也都是冲着这个去的但是恕我直言这个导演没跟上电影其他部分从剧作到配乐表演剪辑都不及格现在显然鼓励太多上一次还是大圣归来从国产动漫到科幻都是批评不得客观就打了三星都有人来骂,2019-02-05,,还行
文森特九六,2.0,倒也不是说有啥特大特显眼的问题主要还是太没趣太无聊太简单太狭小了另外再多句嘴以好莱坞式的工业制作与美学取向标准完成的这部开启所谓中国科幻元年之定义的作品真的就值得我们自信和骄傲吗,2019-02-06,,较差
小A,4.0,气势恢宏后半段很震撼刘慈欣原著没有完整的故事而是碎片化场景的集合电影版以原著设定为基础原创了一个故事有致敬地心引力星际穿越和多部经典动作片灾难片的内容和降临一样在科幻故事架构中表达人文关怀不再以展现人类科技伟大成就或浩瀚宇宙壮丽神秘作为故事唯一主题而是以此为基础回归人性探索架空设定下人类最纯粹的情感,2019-01-28,北京,推荐
哪吒男,3.0,父亲们一定会喜欢的电影为人父亲的人生理想被表现得彻彻底底说什么都是对的不带孩子还能天天教训孩子临死前也能教育孩子后半段煽情点太多了都麻木了,2019-02-08,深圳市,还行
Xaviera,3.0,特效确实值得赞也确实是翻开了国产科幻片的新篇章毕竟看了会有其实我们也能做到的骄傲但对于科幻元年持保留意见剧本仍然是硬伤大部分人物没有立得起来人物行为动机和转折几乎没有逻辑背景驱动可言煽情位置都非常明显所以很尴尬而且从人物设定就知道人物的作用甚至生死就算导演特意淡化个人英雄主义却仍然很多金手指到后半部分出舱后剧情开始崩盘加上你根本猜都不用猜就能知道的结局所以毫无紧张感更别说共情了赞同评论那句硬要科幻和硬科幻是两回事但国产科幻片以此为开端以后的发展是可以期待的,2019-01-29,广州市,还行
谢谢你们的鱼,4.0,分钟重新定义了中国科幻主创团队站在好莱坞的肩膀上完成了一个中国电影人从未完成的壮举你可以在影片中看到星际穿越全球风暴后天世界末日等一系列好莱坞顶级大片的影子但是观看的时候你依然会非常明确地认定这是一部国产科幻大片应该具有的样子没有山寨感没有违和感编剧对于大刘故事的全新演绎面面俱到小到人物情感大到人类存亡都被演绎得让人信服高潮部分更是贡献了极强的情感穿透力燃度也是惊人说实话流浪地球作为国产科幻元年作品起点真的太高了心疼后面那些跃跃欲试的跟风者小粉红请不要赞这条我不是你们盲目爱国的盟友,2019-01-28,北京,推荐
桃桃淘电影,3.0,分当时看的时候最大的感受就是影片终于用一种好莱坞灾难片的模式来处理这部电影这使得最后的救援与牺牲都有热血感虽然从情节的细节人设台词等很多方面还是有太多的遗憾但是它还是一个方向吧这种大片还是要尊重一些类型片基本情节规律的另外真正触到我的还是那个年的漫长旅行一场所有人都看不到结局的冒险特别绝望与悲观恰好也是我对宇宙的看法,2019-02-07,,还行
Plauto,2.0,暂未看原著此评分仅针对电影呈现拍摄制作评分绝大部分给画面特效情节全靠台词和配音推动刚才地震了刚才二次地震了杭州沦陷了我们到印尼了木星引力加大了我们成功了插科打诨特别尴尬一些人物个性莫名其妙如呕吐的那段煽情极多好不容易情节走入正轨热血沸腾时就死个人再嚎两下此处放大回音混响音效节奏感贼差价值观混乱一会要救地球为了大义一会要救家人为了团聚一会独自行动违背规则一会扬我国威道德绑架前段一直嚷着要回家又不让地球末日团聚最后再为了拯救一部分人牺牲所有人类遗产反正我们爷俩想咋样整个宇宙就得怎么来这不是典型的巨婴心理么强行反思的人工智能桥段也无疾而终再申原著内容暂不知晓抱歉白眼翻到烂,2019-02-05,武汉市,较差
shininglove,3.0,美国被隐去俄罗斯陨落日本韩国东南亚逃避无作为依靠吴京的父权杠杆子嗣撬动宇宙,2019-02-10,北京,还行
Seki怎么又瘦了,3.0,看着挺无语的对不起各位对不起大刘但我实在没法接受莫名其妙的煽情和我逻辑里没法解释的小屁孩通过常识得到的奇迹比全球顶尖牛逼的科学家和超智能人工智能更牛逼的爱国主义奇迹精神对不起,2019-02-07,,还行
寒枝雀静,2.0,假如元年如百度百科所说意为某个事物或事件开始发生的时间的话那么这部影片在人物塑造情节推进主旨串连演员表演配乐调用等基础的叙事或是论证能力与视听技巧方面都是配得上这一称号的而视觉效果则比元年要成熟不少一个初生不久的孩子不会说话走路眼中却有着扁平驳杂而充满新鲜感的世界只不过世界到底意味着什么死亡意味着什么对它而言还是如此轻薄模糊然而这些实质性的成长镇痛才是在鼓励之外必须要磨炼的内容,2019-02-06,上海,较差
德川咪咪,5.0,虽然和原著几乎完全不同但绝不亚于高二看小说时的脑补放映厅里都是独自来看这部片子的单身宅男最后半小时一整排人都在爆哭它绝不仅仅限于中国人竟然能拍出这种水平的科幻电影这是在好莱坞的标准下也绝不逊色的闪闪发光的能被所有人长久传扬铭记的一部作品怎么说呢科幻迷们这一生不就是为了等到这样的作品吗大笑感动爆哭忘却自我满脑子都是破音前进三,2019-02-05,上海,力荐
张天翼,2.0,拿科幻的壳子包装一个汶川地震九八洪水大救援的旧故事这不叫科幻科幻的真正意义不在于此何况这么多的硬伤已经严重影响观影浸入感了更何况从人物刻画到台词设计到演员调教都是崩塌的状态唯一一个在他的戏份里能入戏的是客串的雷佳音说到鼓励一下如此惊人的票房已是很好的鼓励中国科幻想进步需要的不是鼓励一下,2019-02-19,北京,较差
邢早早,1.0,刘启韩朵朵泰山崩于前而色不变猝然临之而不惊地球是你们的我不配留在这里我先死为敬去做天上星星了,2019-02-11,北京,很差
巴伐利亞酒神,4.0,优点和缺点都十分突出的电影先说优点算得上中国科幻电影的里程碑之作尤其视觉效果非常出色红色防护服和大型载货卡车的设计极其出彩完全击中了我的审美如果出周边玩具的话一定购买再说缺点场面足够宏大了但有些空个别台词太尬个别演技掉线个别煽情过头而大刘原著里的那种悲悯没有表现出来简言之流浪地球是一出无法回头的壮烈一种不抱希望的绝望苦涩的成分原本应该大于燃烧的,2019-01-28,上海,推荐
九只苍蝇撞墙,,战天斗地会是历史留给中国人的唯一思想遗产么,2019-02-05,,--
冰山的阴影,1.0,年的中学课堂与社会结构还停留在年机械设计还停留在维多利亚的蒸汽齿轮阶段请全世界自以为是的熊孩子都进监狱心疼休眠中的其余精英宇航员莫名其妙就成了一意孤行的陪葬种语言大力出中国奇迹让人类永远保持理智确实是一件奢侈的事,2019-02-06,福州市,很差
iriselite,4.0,作为业余偶尔写科幻小说的我实在没有写如此庞大体系的能力顶多写软科幻真是出乎意料的我国本土科幻大片背景体系庞大十足的硬科幻视觉效果震撼作为文科生可能对这方面的理论比较难理解不过本片除了科学理论还有浓浓的亲情催泪啊看完散场以后要好好的呼吸空气仰望蓝色天空星空感受地球的美好,2019-01-28,上海,推荐
Ms_underwater,2.0,这台词这人物设定看得我直翻白眼尴尬症都要犯了简直浪费大制作,2019-02-06,上海,较差
Morning,3.0,是灾难片但并不科幻在科技这个类型上的叙事是节节败退的因此我更宽容了一点星际穿越地下城的景置景感太重和动物世界的轮船没差我觉得是观念和精细度的问题外部世界我则想起了天咒实在是不算太好的联想电影的煽动能力还是很强的毕竟把希望和恐惧都讲到了一个死生的极致但个人角色就写得比较糟糕情节时常依托于一个人任性的决定无视法律法纪等等这让我觉得现代文明和科技发展后可能已经克服了的东西写人性仍旧写不出恢弘的灵性格局科技和灵性是同步发展的亚特兰蒂斯文明就是佐证我喜欢男主角的任务反转的线当他离开队伍找到车再次踏上征途时又和李光洁又一个互相的交接动作确实是很扎实的一笔但前面的我只能说他们一家人很拖累同伴,2019-02-05,北京,还行
谢飞导演,5.0,到五棵松耀莱影城的杜比厅大银幕上看了这部开创中国硬科幻电影元年的娱乐佳作不错几年前就看过刘慈欣的大作三体深知把他的科幻世界搬上银幕的巨大难度年轻的导演郭帆和王红卫剧本策划带领的编剧团队干得漂亮值得观众用亿以上的票房来支持它鼓励它好的文化艺术片不容易拍好的通俗娱乐电影同样需要不凡的艺术才华技巧和能力加上巨额的资金投入高科技视听制作难度更大春节假期中在柏林电影节上斩获奖项和好评的地久天长恐龙蛋一秒钟等文艺片和在国内市场上获得票房冠亚军的本片及疯狂的外星人等娱乐类型片的主创许多都是电影学院的各专业毕业生祝贺他们的成功母校因他们而骄傲以前给战狼我打过五颗星这次也一样,2019-02-19,北京,力荐
Ada Wang,3.0,还行因为国产科幻有了开始就是进步事实上国人在历史剧长期的沁润下完全未来建立一套独立的科幻思维和科幻文化一开始以为国产的是星际穿越看了一半是天地大冲撞看到最后发现是木星上行电影前半段的故事非常的紧凑和扎实剧情层层展开穿插的回忆也相当的不错到最后反转出现了意料之中的部分坍塌强大的主角光环和只有小孩拍脑袋的想法逃离引力的反转生硬而且难以说服观众人类对于宇宙天体的运动是渺小的人类要撼动天体运动轨迹相当于蚂蚁要把一个大象举起的难度即使有科学帮助也是杯水车薪点名批评几处电影细节都有了地球发动机地下城基因遗传这些前卫的科技教室的质感简直是世纪初的环境连我们当代标配的多媒体设备都没有不要认为每一处细节是可以忽略和忘记的好莱坞优秀佳作就是靠这些细节取胜的,2019-02-07,深圳市,还行
内陆飞鱼,4.0,拍一部国产硬科幻很不容易既要在视觉效果上过硬营造俯瞰式浸入式的宇宙奇观饕餮早已被好莱坞喂饱了的影迷又要在世界观宇宙观上符合国情为中国人找到一席之位流浪地球显然是过硬的两方面都达标了特效营造的末日奇观令人叹服中国式的拯救观念有四海之内皆兄弟的大局观又兼顾了小家庭的温暖幸福希望这是一个良好的开端会激发国产科幻片的创作热情带出更多优质佳作,2019-02-07,,推荐
Mr. Infamous,2.0,很认同且期待中国早该出一部硬核的科幻大片有大刘的基础也有郭帆的实力当然希望流浪地球不仅是一部有着震撼工业视效的电影而且是一部无论在角色塑造故事内核还是情感共鸣上都属上乘的作品可惜说好要做彼此的天使等台词以及隋凯等角色不合时宜的低廉笑料包括抖音等广告的植入展现了太多妥协与媚俗明明该记得许多壮阔的天文奇景与末日气象可脑中最挥之不去的竟然是广播腔的亲人两行泪再加上一些表演的不足情感的干涩还是失望的可对郭帆和中国科幻片仍会寄予希望期盼国产科幻片的扛鼎之作就在不远处,2019-01-12,北京,较差
琦殿,4.0,刘启韩朵朵地球给你俩了毁灭吧赶紧的累了,2019-02-07,深圳市,推荐
汽车大师,2.0,特效上的确不算尴尬了可动作戏的执行每场都尴尬我反正是看不懂前因后果实际都在演些什么趁着卡梅隆客套夸赞几句的机会赶紧去拜个师吧,2019-02-07,上海,较差
沈入忘🌟,5.0,在巨大的人类灾难面前一切都不复重要但人类面对绝望时徒劳的甚至是愚蠢的爱希望勇气才更加熠熠生光宇宙没有意义人类却能赋予自身意义让人类保持理智可太难了所以我打五星也挺不理智的电影有很多问题但是我是真的非常喜欢世界观的设定太棒了让我看到了很多的可能性,2019-02-07,上海,力荐
何小沁,4.0,流浪地球中国第一部真硬科幻电影确实硬起来了将中国式亲情关系故土情怀投射到宏大的末日构想中比原著又升华一层敬畏而感动电影剧本特效都很扎实最后分钟特别燃年龙标号作品也是中国科幻大片迈出的第一步郭帆这一代类型片起家的后导演学习能力都很强不断为市场带来新的惊喜加油,2019-01-20,北京,推荐
獨孤島主,4.0,在悲情城市的中学教育居然还是这样的,2019-02-06,上海,推荐
彭萦,3.0,星际穿越我给了五星地心引力火星救援我给了四星按这个标准只能给三星,2019-02-05,北京,还行
芥爲之舟,3.0,那刘户口真不是曹云金啊,2019-02-07,,还行
黄青蕉,4.0,可以的完整宏大节奏泪点都做到了这种踏实在风靡着胡乱吹逼和高冷鄙视链的科幻电影界真的难得要不是粉丝那么讨厌我都可以打鼓励性五星了当然有一说一短板也是很明显比如你把背景换到俄罗斯试试没了祖国滤镜整个故事就还是上世纪土锤灾难片但是谁让我们连土锤灾难片都没拍好过呢慢慢来吧保持这个态度总有一天会好的,2019-02-14,北京,推荐
张老实,3.0,只能说入门了但没新意能看出多经典电影的影子而这类片子就怕没新意影院里没有战狼起立鼓掌也说明了片子一般,2019-02-08,上海,还行
皮革业,3.0,在符合国情许可的幻想大前提下渲染家园家国乃至家球情怀之外难得地讲了一个少年救世界的未来故事也算是一种有中国特色的中二,2019-01-29,北京,还行
恶魔奶爸Sam,5.0,除了小女孩广播那里无败笔广播那个部分台词写的一般小演员的功底也很成问题,2019-02-10,广州市,力荐
寻～,1.0,想看科幻的可以散了想看父子冰释前嫌的赶紧去吧,2019-02-05,北京,很差
同志亦凡人中文站,4.0,拖着地球逃难的设定有种在看太空版战狼的感觉但无论气质还是内核都够硬硬气硬核的国产科幻片预算有限但特效很真纪律服从牺牲精神外国人可能又要说华语片自我高潮了但谁说价值观只能是好莱坞那种最大亮点没人谈恋爱因为谈了也没球用,2019-02-07,,推荐
小姬,5.0,在西安看完零点场上座率好得惊人观众素质极高我隔壁的哥们不认识在电影结束的那一刻对着郭帆的名字大叫一声牛逼第三次看了还是看哭了我看到了一个未来那就是流浪地球会成为星战那样延续几十年的经典系列几十年后我会在电影院看到地球抵达半人马座阿尔法星也就是三体星系冰融化成水人类的孩子在贝加尔湖畔钓鱼而我们这一代人垂垂老矣在影院里默默流泪更多的年轻人因此爱上科幻,2019-01-20,北京,力荐
萨库拉,3.0,技术有没有赶上好莱坞不是太关心剧本和意识的差距还是相当地肉眼可见人物逻辑关键戏的台词都好想重写一遍但战狼式的精神内核真的扳不回来关上门也许可以自我鼓励一下要走出门的话大家都继续努力吧,2019-02-08,,还行
陈楸帆,5.0,和大刘一起看的内部亲友场感动中国科幻电影的元年终于他妈的来了,2019-01-20,北京,力荐
圆首的秘书,3.0,主要也就剩下编剧了视听水平等同网大制作层面还是有一股比较浓烈的廉价质感从美术到灯光到音效都不太合格尤其是木星冲击波达到的时候以为会是惊天大冲撞至少宏观上是这样的结果所有东西掉在地上软趴趴的毫无撞击感轻柔得让人出戏当然你可以说是钱的问题但这是一个万金油理由钱不够也有钱不够的拍法如果说这样的作品是一座里程碑那实在是一座有点简陋的里程碑见证历史的我只能感到没有满足的失落和遗憾,2019-02-06,北京,还行
老五,2.0,嘿嘿霍金牛顿老爷子在世看到吴京哥哥的流浪地球会气死,2019-02-05,上海,较差
